store_token,transaction_id,receipt_token,transaction_time,amount,source_id,user_role
bbb5d942-22f4-4742-ba48-73ee6f072f07,5d56aa15-e0ba-466f-bdac-54070c2a4faa,OkYRBMeyy,20241001T203316.000,$971.10,d789b411-334f-4a2b-b59d-03f521e75247,Cashier
1da3c6c5-d2f1-4548-85aa-73c1868cb9d9,d18e4827-7f54-4e34-b492-f8291486e1ca,f2o3gyrDO1xkxw,20241001T124217.000,$702.11,5acfd3f5-9964-498d-992d-4eef70cfb495,Cashier
1da3c6c5-d2f1-4548-85aa-73c1868cb9d9,0a77cf64-12f7-4242-88eb-9de8cf7c4d03,Zuzren,20241001T161341.000,$499.73,908a425a-d2d7-41e1-8268-12d9c42737fe,Clerk
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
200db0bb-545a-4619-823a-255f234b50b1,05c76aed-82d1-4af9-b125-6730184dfb41,ipVJIqVLB5Lzx,20241001T130832.000,$494.02,9abbcdfa-370a-4283-b1a4-de13db1e27fa,Cashier
d6436eed-f5cd-4feb-ad1a-454ad2647936,2d1f3e97-41c4-49b2-9d7f-b0e9e2fe106c,dp4K8ffUF0eW,20241001T100842.000,$475.80,e052fe8e-61b1-4797-afcf-2efafb388a48,Admin
650a239e-2113-45fe-bd88-48c13b4a947c,056045f9-45cf-4603-b4ca-b970244d81e5,hpoevbLJoLoaeTOdoe5,20241001T075521.000,$71.79,fc5da45b-abef-45fd-acc4-5a705d975336,Manager
200db0bb-545a-4619-823a-255f234b50b1,76fefe3c-397d-4141-8677-a042f05547ab,H3MB9n7IWUSmT,20241001T152542.000,$650.22,5517715b-23f7-4d0d-97f1-01fdcd95b7f3,Clerk
b9c7e9af-fe92-40a5-b40d-d001700005d3,ced708cf-cf7b-425f-a600-9031a94d1e2f,SBvrjn9Wvg,20241001T082406.000,$359.62,cdcaebdb-d2d0-467e-a445-e2262d569116,Supervisor
d6436eed-f5cd-4feb-ad1a-454ad2647936,8860f0b7-bff9-4def-bb76-a2f22ade149f,nIiU74KKEpYEZAmggQBw,20241001T192629.000,$863.96,d51530ba-a524-4182-8bb6-5c0066080b5b,Cashier
d6436eed-f5cd-4feb-ad1a-454ad2647936,5e4cb8e1-7637-46d8-94bc-07041a758361,jxWkI9X7H6a,20241001T163101.000,$112.75,6c08ac6d-5a0c-48a6-84eb-eb179087ba13,Supervisor
bbb5d942-22f4-4742-ba48-73ee6f072f07,9d768edd-3b1e-4e8e-bf86-842c9de2120d,XPvhsBkDa9U4U,20241001T143248.000,$179.47,761639ad-7dc3-4897-b353-b2b014a90679,Cashier
4bb2febf-5871-410e-b5d9-9a79a43104b9,aa714c9d-5e2f-4a65-985b-f14c4a54f5ed,ZcUDIh7yfJs1O,20241001T173612.000,$704.86,4f4ce427-244e-417c-a105-753b2463e26c,Cashier
bbb5d942-22f4-4742-ba48-73ee6f072f07,a7a9bb18-5d70-4cce-a5aa-d7ecde131edd,zUvZ3g,20241001T131212.000,$536.74,71daa6fa-d265-43a4-a6ff-c7d62b362d02,Manager
4bb2febf-5871-410e-b5d9-9a79a43104b9,ec75e24f-09bc-4e6d-9405-46626a4a1d8b,IUpkDyr7OS,20241001T134320.000,$843.00,91df85bd-3b76-4068-b582-c002873d4920,Cashier
bbb5d942-22f4-4742-ba48-73ee6f072f07,5d56aa15-e0ba-466f-bdac-54070c2a4faa,OkYRBMeyy,20241001T203316.000,$184.30,d789b411-334f-4a2b-b59d-03f521e75247,Cashier
