store_token,transaction_id,receipt_token,transaction_time,amount,user_role
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,ce6c99cd-1390-42cb-bf21-6bd74eef425d,gBo1ev,20241021T184920.000,$317.36,Supervisor
edb34e1d-9e1f-4f19-bf82-801142ca1a86,50ab5f8b-00ad-488d-acf5-c4b08199229b,kKpK12yR5IvyWV,20241021T105044.000,$724.43,Admin
5bd44da2-81e3-404c-a327-d118ce3ad2dc,a772127b-956b-4151-87a0-fab5c56ec255,owJ8yBlRLQyfXNsZpTef,20241021T140924.000,$711.96,Manager
649a4188-99c3-4e98-8b5e-79926169d9ff,3274d72d-3012-4951-aa9a-7351a7e810d2,l72ub9,20241021T123709.000,$752.49,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,ce6c99cd-1390-42cb-bf21-6bd74eef425d,gBo1ev,20241021T184920.000,$30.60,Supervisor
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,d55cab83-938f-40e7-b65d-6e29c34034cb,5H6con53,20241021T211702.000,$924.23,Supervisor
461a4075-effb-42c4-9690-0d5dd7c60670,c661d0a4-2486-4d90-89b3-0b1b7136782d,zyyJEdO,20241021T064410.000,$83.60,Clerk
649a4188-99c3-4e98-8b5e-79926169d9ff,082a0d5c-4aad-4387-a93d-613f19c34171,IsbG0SRBZ86lg,20241021T093309.000,$241.73,Admin
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
649a4188-99c3-4e98-8b5e-79926169d9ff,2ce4026c-e772-4c50-9052-1a2ca173f94f,0wrYzfx9zDKpS,20241021T131943.000,$828.23,Cashier
