store_group,store_token,store_name
A3B1799D,a4e6ba38-c8a4-49d0-bbf3-75ea2e227e09,Store 00001
46685257,1d660cf1-2e30-43b9-b3fc-ecc16746191a,Store 00002
392456DE,abd2c2f5-d6da-4d21-8057-df1f0f87c55c,Store 00003
BC8960A9,a5d1aabd-6c10-4b3b-a1e4-68de8e08bc48,Store 00004
6C031199,a06cf5f2-9b60-4512-8a46-c04f28e3e951,Store 00005
07A0CA6E,00a3d7d0-a346-4af6-a2a0-a9a1e6323980,Store 00006
37F8A88B,3d4c08bc-e538-4ce1-ab6b-b4fcb91f6302,Store 00007
8B8148F6,56f86d80-21ef-42b3-9497-b39eaa6a6538,Store 00008
386ECBE0,37d79496-09f4-4d9a-b5d8-201c27c799c3,Store 00009
96DA1DAC,d2607a90-be7a-48f1-be31-c572f440dcde,Store 00010
